name,location,date_time,optional_artists,price,event_page
99 CLUB LEICESTER SQUARE COMEDY - TUE 6TH SEPT,"99 Club @ Ruby Blue, 1 Leicester Place, Leicester Square, London WC2H 7BP","Tue 6th Sep, 2016 Doors Open 7.30pm Show Starts 8.30pm- 10.30pm","","",http://www.wegottickets.com/f/10264
ADAM FRENCH,BRIGHTON: OIB Records @ The Hope,"Tue 6th Sep, 2016, 8:00pm","",£6.50 + £0.65 Booking fee = £7.15,http://www.wegottickets.com/event/361957
ARE WE STRANGERS NOW? PRESENTS... BABY BRAVE / MAD WINTER (JOINT HEADLINE SHOW),MANCHESTER: The Castle Hotel,"Tue 6th Sep, 2016, 7:30pm",Foxtales (rare acoustic set),£6.00 + £0.60 Booking fee = £6.60,http://www.wegottickets.com/event/371251
BAD VIBRATIONS PRESENT: FEELS,LONDON: The Shacklewell Arms,"Tue 6th Sep, 2016, 8:00pm","",£5.00 + £0.50 Booking fee = £5.50,http://www.wegottickets.com/event/367619
CAHALEN MORRISON & ELI WEST,LEICESTER: The Musician,"Tue 6th Sep, 2016, 8:00pm",Hope In High Water,£11.00 + £1.10 Booking fee = £12.10,http://www.wegottickets.com/event/360999
COMEDY ON THE SPOT,LONDON: The Grove bar and Restaurant,"Tue 6th Sep, 2016, 7:00pm","Sonia Aste, Dimitri Bakinov and Peter Bazely",£0.00 + £0.00 Booking fee = £0.00,http://www.wegottickets.com/event/371188
DANNY & THE CHAMPIONS OF THE WORLD,MANCHESTER: Hey! Manchester @ Gullivers,"Tue 6th Sep, 2016, 7:30pm",Plus guests,£10.00 + £1.00 Booking fee = £11.00,http://www.wegottickets.com/event/357568
DAVE GILES AND JOE MCCORRISTON,NEWCASTLE: Bar Loco,"Tue 6th Sep, 2016, 7:00pm","",£8.00 + £0.80 Booking fee = £8.80,http://www.wegottickets.com/event/366825
"DAY 2, TOP TIME TUESDAY - 'RED ROAR FESTIVAL' EARLY BIRD TICKET",GRAVESEND: Red Lion - Leos,"Tue 6th Sep, 2016, 5:30pm","Adrian Hopkins, Boxtape, Diesel Drums, Dul Fin Wah, Facade, Fern, Glass Houses,  Ink Siblings, Interstellar Noise Drive,  Kinky Downs, Mitch Emery, No Limit Street Band, Port Royal, Shadow of Doubt, South At Zero, Stereo Drones, Swampstomper, Sweet Revenge, Teal, The Drainz",£4.00 + £0.40 Booking fee = £4.40,http://www.wegottickets.com/event/371570
DUOTONE,BIRMINGHAM: Kitchen Garden Cafe,"Tue 6th Sep, 2016, 7:30pm","",£8.00 + £0.80 Booking fee = £8.80,http://www.wegottickets.com/event/365550
